Timestamp,Read Speed (MB/s),Write Speed (MB/s),Alert
2025-09-12 20:14:58,4.15,1.05,
2025-09-12 20:14:59,0.12,0.00,
2025-09-12 20:15:00,0.00,0.02,
2025-09-12 20:15:01,0.00,0.23,
2025-09-12 20:15:02,0.00,0.14,
2025-09-12 20:15:03,0.00,0.23,
2025-09-12 20:15:04,0.00,0.00,
2025-09-12 20:15:05,0.00,0.14,
2025-09-12 20:15:06,0.00,0.07,
2025-09-12 20:15:07,0.00,0.00,
2025-09-12 20:15:08,0.00,0.59,
2025-09-12 20:15:09,0.00,0.00,
2025-09-12 20:15:10,0.00,0.23,
2025-09-12 20:15:11,0.00,0.00,
2025-09-12 20:15:12,0.00,0.00,
2025-09-12 20:15:13,0.00,0.01,
2025-09-12 20:15:14,0.00,0.00,
2025-09-12 20:15:15,0.00,0.20,
2025-09-12 20:15:16,0.00,0.11,
2025-09-12 20:15:17,0.00,0.00,
2025-09-12 20:15:18,0.00,1.52,
2025-09-12 20:15:19,0.00,0.19,
2025-09-12 20:15:20,0.01,0.16,
2025-09-12 20:23:27,0.00,0.00,
2025-09-12 20:23:28,0.00,0.11,
2025-09-12 20:23:29,0.00,0.00,
2025-09-12 20:23:30,0.00,0.00,
2025-09-12 20:23:31,0.00,1.54,
2025-09-12 20:23:32,0.00,0.26,
2025-09-12 20:23:33,0.00,0.00,
2025-09-12 20:23:34,0.00,0.00,
2025-09-12 20:23:35,0.00,0.14,
2025-09-12 20:23:36,0.00,0.64,
2025-09-12 20:23:37,0.00,0.00,
2025-09-12 20:23:38,0.00,0.00,
2025-09-12 20:23:39,0.00,0.27,
2025-09-12 20:23:40,0.00,0.00,
2025-09-12 20:23:41,0.00,0.02,
2025-09-12 20:23:42,0.00,0.00,
2025-09-12 20:23:43,0.00,0.17,
2025-09-12 20:23:44,0.00,0.00,
2025-09-12 20:23:45,0.00,0.16,
2025-09-12 20:23:46,0.00,0.00,
2025-09-12 20:23:47,0.03,0.25,
2025-09-12 20:23:48,0.00,0.00,
2025-09-12 20:23:49,0.00,0.00,
2025-09-12 20:23:50,0.00,0.07,
2025-09-12 20:23:51,0.00,0.50,
2025-09-12 20:23:52,0.00,0.00,
2025-09-12 20:23:53,0.00,0.00,
2025-09-12 20:23:54,0.05,0.00,
2025-09-12 20:23:55,0.00,0.29,
2025-09-12 20:23:56,0.00,0.01,
2025-09-12 20:24:08,0.00,0.00,
2025-09-12 20:24:09,0.02,0.00,
2025-09-12 20:24:10,0.00,0.00,
2025-09-12 20:24:11,0.00,0.16,
2025-09-12 20:24:12,0.00,0.00,
2025-09-12 20:24:13,0.04,0.00,
2025-09-12 20:24:14,0.00,0.00,
2025-09-12 20:24:15,0.00,0.12,
2025-09-12 20:24:16,0.00,0.00,
2025-09-12 20:24:17,0.00,0.01,
2025-09-12 20:24:18,0.00,0.00,
2025-09-12 20:24:19,0.00,0.00,
2025-09-12 20:24:20,0.00,0.12,
2025-09-12 20:24:21,0.00,0.11,
2025-09-12 20:24:22,0.00,0.22,
2025-09-12 20:24:23,0.00,0.16,
2025-09-12 20:24:24,0.00,0.00,
2025-09-12 20:24:25,0.00,0.15,
2025-09-12 20:24:26,0.00,0.00,
2025-09-12 20:24:27,1.14,0.01,
2025-09-12 20:24:28,0.00,0.00,
2025-09-12 20:24:29,0.00,0.00,
2025-09-12 20:24:30,0.09,0.08,
2025-09-12 20:24:31,0.00,0.11,
2025-09-12 20:24:32,0.00,0.64,
2025-09-12 20:24:33,0.00,1.53,
2025-09-12 20:24:34,0.00,0.00,
2025-09-12 20:24:35,0.00,0.15,
2025-09-12 20:24:36,0.00,0.07,
